phrase,type
4 in 1 microwave machine now in stock,normal
a pregnant woman delivered a healthy baby boy after she was shot leaving a church in far northeast dallas,normal
aaaaa i miss u so bad,slang
aaaaaah im so happy,slang
amazon warehouse workers injured at higher rates than rival companies study finds,normal
an oasis of happiness amidst the chaos of a city,normal
and u dont believe me when i tell u hes a vampire,slang
any one in the oxnard ventura area please be on the lookout for our friend,normal
anything was better than trump tbh,slang
are you joining us to eliminate child labour and its worst forms,normal
as of tonight my team has sued 6 states to block new voter suppression laws,normal
awww so cute,slang
be less hyper this year,slang
beastie boys in concert at glasgow barrowlands in may 1987,normal
because youre afraid to even admit youre afraid,normal
can yal all log out i wanna be alone right now,slang
can you guys actually f off now,slang
cant come at people all up in arms all of a sudden and think that we aint smart enough to see through the hypocrisy,slang
catto has been captured,normal
caught in 4k,slang
certified vaccine freak right here,slang
clear that positive tests are rising at the moment,normal
close not me btw,slang
congrats bro,slang
cus imma watch love jones no matter how bad i realized it is,slang
dery we love you pls stay strong,slang
did something different today,normal
do not forget the revolution continue to oppose the military dictator,normal
do you think they dont fine white people,normal
dont preach to em today they dont wanna believe it,slang
dude how do people take such bomb pictures every single day,slang
energy im on,normal
every day more developers are accelerating app development with azure,normal
film opens with a wordless scene a vintage photograph of two men presumably friends cut in half with big knife,normal
filmfare has posted total 4 tweets about sidharthshukla yesterday,normal
for example if its written in english while being spanish obviously hes retarded,slang
for example the physio is 2x what ive paid to independent practitioners in the uk,normal
friends the surprise is coming,normal
from the river to the sea palestine will be free,normal
good for you,normal
got split into 2 because its too long for twitter,normal
guyysss i found where that legendary meme came from,slang
hahahahahahahhahahahshajsahhsahdsajdhajhajhahah,slang
handwritten letters mean so much to me u hv no idea,slang
happy 25th birthday to my oneandonly,normal
happy birthday bro hope you have a good one,slang
happy birthday dineshkarthik god bless buddy,slang
happy birthday to youuuu,slang
have a good day love,normal
have a good day luv,slang
have a good time,normal
have you seen these people,normal
he deserves the world,normal
he does so much for us it makes me cry,normal
he got sick yesterday,normal
he has been gone for 37 years sant jarnail singh bhindranwale yet his image and his name still shakes the core of many,normal
hes so handsome without any effort,normal
health watchdogs are calling for staff in gp surgeries to be retrained in customer service skills,normal
hello honey how are you doing today,normal
hello stakeholders,normal
hey hows how yall doin,slang
hmm i am a bit red,slang
how to get better pictures of urban wildlife,normal
hundreds gathered monday for an interfaith service dedicating a prayer wall outside a historic church in tulsa,normal
i be planning when and how ima cut someone off,slang
i did that when i got a new phone,normal
i dont know what counts as indie anymore so imma just list some phenomenal puzzle games,slang
i feel like this was made specifically for me considering i have this framed on my wall 13 years later,normal
i got sick,normal
i got watched as i sat in my chair and she made me feel weird bc she asked me so many times i was like do i look sick,slang
i gotta get likes,slang
i hate having no energy,normal
i have never seen that man,normal
i have no words,normal
i hope other players withdraw in solidarity with naomiosaka,normal
i just made that earlier,normal
i just wanna give him a hug and tell him that he is so appreciated,slang
i kind of love this,normal
i lit my new grill today,normal
i love you papaaaaa,slang
i luv you,slang
i made you breakfast,normal
i think disney is making me more mentally ill,normal
i think i did something and now im sobbing,normal
i wanna b mysterious so bad,slang
i was honored to meet two survivors of the tulsa race massacre mother viola fletcher and mr hughes van ellis,normal
i will hate you for the rest of my life,normal
i will look dead in yo face,slang
i wouldnt be me if i didnt paint a cat eventually,normal
ill never subject u to that again,slang
im gonna go out on a limb here and say yuck,slang
im sick,normal
ive actually owned it for quite some time,normal
ive been waiting,normal
ive talked to people who are pro vaccine but are waiting,normal
ive tried nothing,normal
if my wife disapproves she will have to stay outside,normal
if we lose this were gonna kiss our chances of winning a goodbye,normal
if we texting past 12 am ur replies gotta be within seconds,slang
if you dont know now you know,normal
im gonna call him that from now on www,slang
im in 3 of them,slang
ima buy a samsung,slang
imma make sure you have a good time july 10,slang
imo yes considerably less bloat and some of their phones have modular add ons,slang
improving bilateral relations with afghanistan is of utmost importance to pakistan in the context of india,normal
is that seriously even a question,normal
israeli embassy hosts hatefest in heart of london,normal
it felt fitting lol,slang
it hurts but i prefer to keep quiet and smile like nothing happened,normal
it is good lol,slang
it is what it is,normal
it probably started in 2020,normal
